Prop_1,Prop_2,Prop_3,Prop_4,Prop_5,Prop_6,Prop_7,Prop_8,Prop_9
fire_engine,shopping_cart,shopping_basket,trailer_truck,convertible,carpenter's_kit,accordion,cab,jeep
fountain,television,screen,desk,desktop_computer,stove,laptop,radio,snowplow
monitor,desktop_computer,loudspeaker,screen,television,notebook,spotlight,home_theater,analog_clock
desktop_computer,monitor,stage,screen,television,cinema,home_theater,desk,laptop
Persian_cat,lynx,bow_tie,Egyptian_cat,tabby,shower_cap,tiger_cat,rule,tub
streetcar,passenger_car,planetarium,trolleybus,dock,steam_locomotive,amphibian,prison,electric_locomotive
desktop_computer,desk,mouse,monitor,home_theater,screen,stage,notebook,computer_keyboard
desktop_computer,slot,loudspeaker,monitor,CD_player,spotlight,radio,vending_machine,screen
sewing_machine,microwave,desktop_computer,home_theater,cassette,recreational_vehicle,loudspeaker,desk,projector
desktop_computer,monitor,television,screen,microwave,hard_disc,radio,entertainment_center,home_theater
stage,digital_clock,turnstile,joystick,monitor,radio,loudspeaker,steam_locomotive,desktop_computer
television,desktop_computer,home_theater,monitor,loudspeaker,screen,entertainment_center,laptop,CD_player
racer,hard_disc,projector,minivan,desktop_computer,snowmobile,motor_scooter,slot,cab
desktop_computer,screen,desk,monitor,home_theater,computer_keyboard,mouse,trailer_truck,projector
trailer_truck,fire_engine,monitor,television,forklift,moving_van,screen,vending_machine,rotisserie
notebook,laptop,television,projector,desktop_computer,stage,loudspeaker,grand_piano,monitor
loudspeaker,desktop_computer,radio,CD_player,modem,traffic_light,projector,iPod,vending_machine
monitor,modem,radio,joystick,screen,mouse,notebook,computer_keyboard,web_site
desk,window_shade,grand_piano,pot,monitor,upright,file,desktop_computer,television
web_site,cassette,iPod,cellular_telephone,desktop_computer,perfume,hard_disc,envelope,lotion
radio,cassette_player,CD_player,desktop_computer,tape_player,hard_disc,cassette,monitor,Polaroid_camera
bookshop,freight_car,prison,vault,forklift,cab,carton,altar,shoe_shop
comic_book,ice_lolly,web_site,car_mirror,torch,sunglasses,lens_cap,whistle,bubble
desk,desktop_computer,notebook,monitor,screen,computer_keyboard,mouse,space_bar,printer
desktop_computer,monitor,hard_disc,screen,binder,notebook,cassette,television,mouse
cellular_telephone,hand-held_computer,remote_control,modem,radio,iPod,printer,screwdriver,microwave
cocktail_shaker,Polaroid_camera,sewing_machine,projector,reflex_camera,revolver,drumstick,beaker,cornet
web_site,notebook,laptop,desktop_computer,screen,monitor,hand-held_computer,envelope,hard_disc
cassette,accordion,tape_player,cassette_player,safe,reflex_camera,wallet,radio,binder
monitor,desktop_computer,screen,desk,home_theater,loudspeaker,mouse,television,projector
screen,monitor,web_site,book_jacket,television,desktop_computer,cash_machine,perfume,coffeepot
desktop_computer,hard_disc,radio,loudspeaker,modem,projector,monitor,cassette,home_theater
carton,file,crate,photocopier,safe,padlock,monitor,prison,forklift
accordion,reflex_camera,cassette,lens_cap,Polaroid_camera,disk_brake,holster,modem,assault_rifle
television,Chihuahua,notebook,laptop,Pomeranian,monitor,Pembroke,basenji,toaster
monitor,web_site,television,screen,iPod,cellular_telephone,book_jacket,cash_machine,brassiere
loudspeaker,projector,home_theater,desktop_computer,radio,CD_player,entertainment_center,traffic_light,monitor
notebook,laptop,confectionery,groom,wok,desk,caldron,grocery_store,restaurant
modem,laptop,CD_player,safety_pin,screwdriver,carpenter's_kit,projector,hard_disc,tape_player
monitor,screen,desktop_computer,web_site,laptop,notebook,television,projector,computer_keyboard
desktop_computer,monitor,screen,desk,computer_keyboard,notebook,mouse,television,space_bar
spotlight,table_lamp,radio,stage,lampshade,loudspeaker,desktop_computer,drumstick,accordion
slot,desktop_computer,loudspeaker,mouse,cinema,printer,sax,CD_player,church
notebook,laptop,web_site,monitor,desktop_computer,television,screen,projector,computer_keyboard
analog_clock,digital_clock,television,slot,mailbag,monitor,projector,loudspeaker,buckle
punching_bag,carton,ashcan,water_bottle,cash_machine,purse,monitor,packet,mailbag
notebook,laptop,computer_keyboard,abacus,desktop_computer,monitor,screen,radio,typewriter_keyboard
stage,desktop_computer,spotlight,web_site,monitor,feather_boa,perfume,loudspeaker,abaya
hard_disc,carpenter's_kit,radio,printer,Polaroid_camera,cassette,joystick,tape_player,oscilloscope
dishwasher,hard_disc,cassette,carpenter's_kit,Polaroid_camera,tape_player,radio,packet,cassette_player
desk,screen,monitor,desktop_computer,microwave,dining_table,joystick,mouse,altar
radio,oscilloscope,CD_player,digital_clock,loudspeaker,hard_disc,printer,tape_player,modem
cassette,hard_disc,tape_player,vending_machine,cassette_player,projector,slot,Polaroid_camera,switch
monitor,web_site,desktop_computer,notebook,television,screen,laptop,comic_book,accordion
desktop_computer,monitor,television,radio,loudspeaker,binder,cassette,modem,screen
carton,crate,packet,envelope,bookshop,grocery_store,matchstick,jigsaw_puzzle,binder
radio,notebook,desk,joystick,loudspeaker,desktop_computer,laptop,modem,CD_player
laptop,notebook,mouse,desktop_computer,monitor,screen,web_site,jigsaw_puzzle,desk
monitor,desktop_computer,desk,screen,television,projector,home_theater,mouse,notebook
plow,web_site,carton,envelope,screen,shovel,printer,monitor,screw
web_site,television,monitor,comic_book,home_theater,projector,laptop,notebook,screen
carton,crate,file,library,packet,prison,grocery_store,honeycomb,safe
sewing_machine,desk,pool_table,barber_chair,television,desktop_computer,projector,home_theater,barbershop
monitor,desktop_computer,screen,home_theater,desk,television,stage,laptop,joystick
radio,desktop_computer,modem,hard_disc,notebook,loudspeaker,CD_player,accordion,projector
monitor,stage,toaster,screen,television,garbage_truck,spotlight,digital_clock,desktop_computer
monitor,screen,web_site,desktop_computer,oscilloscope,television,laptop,notebook,desk
laptop,notebook,desktop_computer,monitor,mouse,computer_keyboard,screen,web_site,joystick
loudspeaker,digital_clock,traffic_light,home_theater,scoreboard,switch,odometer,projector,stage
desktop_computer,monitor,television,vending_machine,radio,screen,medicine_chest,loudspeaker,table_lamp
slot,desktop_computer,loudspeaker,vending_machine,CD_player,cinema,home_theater,monitor,analog_clock
notebook,laptop,monitor,desktop_computer,screen,mouse,desk,computer_keyboard,stage
carton,crate,file,forklift,photocopier,monitor,moving_van,desktop_computer,library
accordion,space_heater,radio,CD_player,cassette_player,tape_player,loudspeaker,microphone,shopping_basket
web_site,slot,loudspeaker,projector,television,sax,stage,monitor,printer
web_site,monitor,screen,television,desktop_computer,notebook,laptop,home_theater,computer_keyboard
monitor,screen,desktop_computer,joystick,home_theater,projector,desk,space_bar,microwave
home_theater,television,monitor,screen,slot,web_site,loudspeaker,scoreboard,cinema
wallet,notebook,binder,laptop,book_jacket,carton,monitor,packet,purse
web_site,comic_book,trailer_truck,jeep,recreational_vehicle,stage,printer,amphibian,vending_machine
slot,comic_book,cinema,monitor,web_site,television,vending_machine,home_theater,spotlight
radio,monitor,oscilloscope,screen,toaster,microwave,desk,desktop_computer,loudspeaker
desktop_computer,loudspeaker,radio,monitor,oscilloscope,cassette,modem,CD_player,notebook
carton,crate,safe,padlock,grocery_store,file,combination_lock,prison,refrigerator
web_site,monitor,television,screen,book_jacket,home_theater,cinema,scoreboard,jigsaw_puzzle
desktop_computer,desk,monitor,space_bar,computer_keyboard,typewriter_keyboard,screen,notebook,television
mouse,desktop_computer,desk,radio,loudspeaker,hard_disc,iPod,monitor,water_bottle
miniature_poodle,toy_poodle,otterhound,standard_poodle,Irish_terrier,Airedale,Lakeland_terrier,Norwich_terrier,teddy
barber_chair,space_heater,radiator,window_shade,barbershop,rocking_chair,electric_fan,accordion,throne
grand_piano,desk,desktop_computer,monitor,television,dining_table,entertainment_center,upright,home_theater
oboe,feather_boa,miniskirt,handkerchief,jean,flute,sarong,bathing_cap,unicycle
desk,sewing_machine,desktop_computer,radio,file,barber_chair,television,screen,monitor
accordion,desk,barber_chair,ashcan,space_heater,cassette_player,file,typewriter_keyboard,park_bench
park_bench,accordion,rocking_chair,window_shade,desk,throne,sewing_machine,grand_piano,barber_chair
desktop_computer,desk,projector,monitor,sewing_machine,espresso_maker,television,table_lamp,screen
patio,shopping_cart,window_screen,desk,window_shade,rocking_chair,greenhouse,restaurant,china_cabinet
desk,desktop_computer,file,television,projector,library,barbershop,barber_chair,grand_piano
Pomeranian,Samoyed,keeshond,Persian_cat,desk,desktop_computer,chow,Chihuahua,toy_poodle
grand_piano,rocking_chair,throne,shoe_shop,barber_chair,sea_lion,drum,harp,dining_table
desk,desktop_computer,file,notebook,screen,monitor,printer,laptop,mouse
rocking_chair,desk,patio,dining_table,window_shade,space_heater,park_bench,barber_chair,file
rocking_chair,barber_chair,studio_couch,dining_table,park_bench,throne,folding_chair,desk,face_powder
notebook,computer_keyboard,desk,desktop_computer,space_bar,laptop,typewriter_keyboard,mouse,monitor
guillotine,sewing_machine,barbershop,desk,barber_chair,power_drill,hand_blower,beaker,toilet_seat
desk,barber_chair,television,rocking_chair,desktop_computer,screen,barbershop,home_theater,monitor
rocking_chair,park_bench,grand_piano,desktop_computer,accordion,upright,barber_chair,television,space_heater
accordion,desk,sewing_machine,joystick,modem,microphone,chain_mail,typewriter_keyboard,radio
espresso_maker,barber_chair,accordion,desk,park_bench,plate_rack,space_heater,projector,television
rocking_chair,dining_table,home_theater,throne,stove,Polaroid_camera,fire_screen,loudspeaker,jersey
desk,desktop_computer,radio,monitor,screen,modem,loudspeaker,file,patio
desktop_computer,monitor,screen,laptop,desk,notebook,mouse,television,computer_keyboard
accordion,window_shade,grand_piano,suit,notebook,television,tub,jean,projector
Chihuahua,dingo,Pembroke,Labrador_retriever,Cardigan,Pomeranian,German_shepherd,Norwich_terrier,chow
desk,notebook,dining_table,laptop,desktop_computer,candle,jigsaw_puzzle,grand_piano,table_lamp
microwave,upright,television,desk,desktop_computer,grand_piano,radio,space_heater,electric_fan
tripod,sewing_machine,toilet_seat,folding_chair,corkscrew,desk,tricycle,hook,barber_chair
Pembroke,Cardigan,dingo,Chihuahua,printer,coyote,red_wolf,red_fox,grey_fox
web_site,menu,barber_chair,tricycle,bicycle-built-for-two,shopping_cart,tripod,loupe,sewing_machine
rocking_chair,barber_chair,desk,dining_table,throne,laptop,studio_couch,notebook,table_lamp
web_site,guillotine,china_cabinet,book_jacket,jean,Windsor_tie,abaya,shoji,pool_table
barber_chair,desk,spotlight,barbell,folding_chair,notebook,space_heater,rocking_chair,barbershop
hook,web_site,notebook,rule,screw,stopwatch,analog_clock,nail,envelope
barber_chair,rain_barrel,toilet_seat,barrel,rocking_chair,file,tub,washbasin,sliding_door
barber_chair,throne,desk,tripod,dining_table,cuirass,espresso_maker,bulletproof_vest,joystick
window_shade,sliding_door,bookcase,entertainment_center,home_theater,studio_couch,wardrobe,wall_clock,dining_table
grand_piano,window_shade,upright,desk,altar,sliding_door,china_cabinet,shower_curtain,television
desktop_computer,television,desk,projector,screen,spotlight,monitor,stove,radio
desk,screen,library,desktop_computer,restaurant,sewing_machine,monitor,mouse,television
barrow,rocking_chair,grand_piano,cello,harp,desktop_computer,pool_table,desk,park_bench
television,laptop,candle,notebook,kimono,screen,monitor,groom,sombrero
desktop_computer,desk,screen,computer_keyboard,mouse,monitor,notebook,laptop,joystick
seat_belt,holster,carpenter's_kit,joystick,microphone,accordion,tripod,mouse,remote_control
gasmask,neck_brace,running_shoe,pencil_box,sandal,snorkel,knee_pad,iron,purse
monitor,screen,mouse,home_theater,desktop_computer,television,desk,computer_keyboard,notebook
mouse,computer_keyboard,iron,desktop_computer,remote_control,modem,sandal,quill,electric_fan
monitor,screen,desktop_computer,home_theater,television,loudspeaker,window_screen,scoreboard,car_mirror
iron,vacuum,spotlight,sandal,whistle,microphone,Polaroid_camera,pencil_sharpener,knot
hook,whistle,rule,oscilloscope,stethoscope,washbasin,hand_blower,handkerchief,bathtub
desktop_computer,computer_keyboard,remote_control,monitor,mouse,wall_clock,screen,desk,joystick
clog,mouse,cowboy_boot,sandal,mask,running_shoe,Loafer,soccer_ball,sock
desktop_computer,desk,monitor,laptop,radio,mountain_bike,screen,projector,tricycle
web_site,comic_book,jersey,book_jacket,menu,loudspeaker,hard_disc,abaya,envelope
mouse,clog,Loafer,cowboy_boot,cellular_telephone,lighter,sandal,pick,mousetrap
barbell,joystick,dumbbell,reflex_camera,waffle_iron,purse,stopwatch,crash_helmet,gasmask
toyshop,snorkel,gasmask,brassiere,pencil_box,diaper,face_powder,packet,hair_spray
screw,switch,analog_clock,traffic_light,street_sign,digital_clock,whistle,chain,wall_clock
web_site,monitor,book_jacket,television,screen,envelope,menu,iPod,stopwatch
monitor,desktop_computer,screen,home_theater,television,computer_keyboard,desk,web_site,loudspeaker
mouse,sandal,running_shoe,clog,buckle,Loafer,shoe_shop,stopwatch,pencil_box
web_site,book_jacket,comic_book,packet,jersey,cash_machine,sunglasses,torch,Band_Aid
racer,go-kart,bobsled,web_site,mousetrap,fountain_pen,sax,sunglasses,panpipe
desktop_computer,home_theater,radio,monitor,microwave,screen,desk,television,joystick
mouse,modem,desktop_computer,remote_control,computer_keyboard,radio,CD_player,printer,cellular_telephone
comic_book,desktop_computer,monitor,toyshop,jigsaw_puzzle,desk,carton,computer_keyboard,television
reflex_camera,joystick,car_mirror,tripod,oil_filter,scuba_diver,CD_player,cellular_telephone,lens_cap
cradle,bathtub,bassinet,tub,crib,bucket,chest,hamper,carton
baseball,maraca,mouse,crash_helmet,croquet_ball,ocarina,football_helmet,mask,buckle
golf_ball,soccer_ball,baseball,rugby_ball,water_bottle,ping-pong_ball,tennis_ball,beer_bottle,bottlecap
chest,purse,mailbag,wreck,pencil_box,sandal,wallet,bobsled,warplane
web_site,bubble,comic_book,monitor,television,fountain,church,book_jacket,space_shuttle
monitor,laptop,stage,computer_keyboard,screen,notebook,desktop_computer,scoreboard,cinema
neck_brace,gasmask,running_shoe,sandal,pencil_box,knee_pad,snorkel,iron,whistle
electric_fan,projector,safe,buckle,padlock,sewing_machine,microphone,hard_disc,spotlight
bubble,spotlight,microphone,stage,maillot,strainer,feather_boa,pole,maraca
mouse,lampshade,table_lamp,coffeepot,gong,shield,water_tower,punching_bag,drum
iPod,cellular_telephone,lighter,laptop,remote_control,modem,hard_disc,notebook,computer_keyboard
web_site,jigsaw_puzzle,comic_book,church,television,monitor,envelope,slot,bubble
neck_brace,seat_belt,carpenter's_kit,gasmask,screw,crash_helmet,backpack,buckle,knee_pad
football_helmet,slot,comic_book,crash_helmet,bobsled,oxygen_mask,scuba_diver,cash_machine,space_shuttle
desktop_computer,screen,monitor,desk,computer_keyboard,laptop,mouse,notebook,television
golfcart,seat_belt,limousine,Model_T,joystick,minivan,monitor,convertible,neck_brace
laptop,notebook,desktop_computer,desk,computer_keyboard,mouse,monitor,iPod,joystick
computer_keyboard,iPod,cassette,space_bar,laptop,lighter,cellular_telephone,carton,tub
doormat,abacus,bottlecap,computer_keyboard,brass,tile_roof,joystick,laptop,prayer_rug
mouse,joystick,remote_control,computer_keyboard,beer_bottle,wine_bottle,desktop_computer,screwdriver,pop_bottle
radio,parking_meter,dumbbell,laptop,barbell,half_track,pay-phone,desktop_computer,gas_pump
mouse,computer_keyboard,cellular_telephone,remote_control,modem,space_bar,joystick,notebook,buckle
monitor,theater_curtain,desktop_computer,stage,home_theater,screen,cinema,laptop,mouse
monitor,desktop_computer,screen,home_theater,web_site,notebook,laptop,desk,television
mouse,Band_Aid,pencil_box,ocarina,clog,space_shuttle,punching_bag,modem,wine_bottle
desk,sewing_machine,microwave,screen,monitor,desktop_computer,dining_table,fire_engine,stove
monitor,screen,slot,stage,desktop_computer,vending_machine,wallet,computer_keyboard,feather_boa
desktop_computer,monitor,computer_keyboard,desk,mouse,screen,notebook,printer,laptop
book_jacket,web_site,brass,comic_book,menu,dugong,electric_ray,plastic_bag,loggerhead
laptop,joystick,sewing_machine,desk,notebook,desktop_computer,jigsaw_puzzle,computer_keyboard,monitor
desk,dining_table,grand_piano,desktop_computer,stove,studio_couch,home_theater,monitor,washbasin
desk,upright,desktop_computer,accordion,marimba,table_lamp,grand_piano,file,monitor
mouse,microphone,seat_belt,notebook,hand_blower,radio,vacuum,mousetrap,modem
monitor,desktop_computer,screen,television,home_theater,mouse,computer_keyboard,desk,scoreboard
analog_clock,wall_clock,scale,candle,slot,lighter,web_site,padlock,hourglass
computer_keyboard,mouse,modem,remote_control,cellular_telephone,joystick,space_bar,radio,CD_player
spotlight,joystick,projector,microphone,electric_fan,desktop_computer,pay-phone,monitor,mouse
desktop_computer,monitor,desk,screen,mouse,computer_keyboard,television,joystick,printer
mouse,computer_keyboard,projector,desktop_computer,screen,joystick,laptop,monitor,remote_control
desktop_computer,desk,monitor,joystick,mouse,home_theater,screen,altar,web_site
power_drill,hand_blower,chain_saw,vacuum,football_helmet,remote_control,assault_rifle,toaster,Crock_Pot
web_site,puck,car_wheel,Polaroid_camera,crash_helmet,magnetic_compass,reflex_camera,spotlight,jeep
hair_slide,buckle,cellular_telephone,iron,purse,pencil_box,sandal,lotion,wallet
mouse,computer_keyboard,desktop_computer,joystick,monitor,space_bar,screen,typewriter_keyboard,desk
power_drill,switch,modem,remote_control,screwdriver,toaster,carpenter's_kit,tripod,joystick
joystick,screwdriver,hand_blower,assault_rifle,hammer,television,home_theater,notebook,iron
barbell,projector,chain_saw,joystick,oxygen_mask,forklift,scuba_diver,dumbbell,garbage_truck
mouse,desktop_computer,joystick,loudspeaker,monitor,screen,remote_control,computer_keyboard,CD_player
knot,spotlight,coil,microphone,iron,candle,whistle,bubble,mouse
projector,spotlight,loupe,monitor,electric_fan,park_bench,gong,barber_chair,joystick
padlock,combination_lock,knot,hook,bubble,safety_pin,nipple,bib,chain
radio,modem,CD_player,buckle,joystick,carpenter's_kit,hand-held_computer,monitor,purse
desk,mouse,computer_keyboard,desktop_computer,monitor,remote_control,joystick,screen,radio
ping-pong_ball,bobsled,monitor,sewing_machine,home_theater,television,projector,screen,paddlewheel
syringe,sweatshirt,trench_coat,microphone,stage,sunglass,monitor,cloak,Band_Aid
envelope,computer_keyboard,web_site,carton,shower_curtain,toilet_tissue,binder,washer,plastic_bag
mouse,toaster,ashcan,digital_clock,pencil_sharpener,projector,folding_chair,scale,mountain_tent
grand_piano,upright,laptop,desktop_computer,desk,space_bar,home_theater,television,organ
lampshade,table_lamp,monitor,wallet,desktop_computer,shoe_shop,iPod,desk,scoreboard
mouse,iPod,cellular_telephone,computer_keyboard,modem,remote_control,laptop,dial_telephone,notebook
mouse,CD_player,cellular_telephone,crash_helmet,joystick,computer_keyboard,remote_control,cassette_player,space_heater
mouse,jigsaw_puzzle,comic_book,printer,computer_keyboard,joystick,violin,laptop,notebook
mouse,modem,joystick,radio,vacuum,mousetrap,computer_keyboard,remote_control,CD_player
punching_bag,sleeping_bag,mouse,cellular_telephone,submarine,backpack,sombrero,desktop_computer,shield
desktop_computer,screen,monitor,desk,laptop,mouse,computer_keyboard,notebook,projector
desktop_computer,monitor,notebook,screen,computer_keyboard,mouse,laptop,desk,home_theater
mouse,cellular_telephone,modem,iPod,pencil_box,computer_keyboard,purse,CD_player,hard_disc
web_site,vending_machine,menu,meat_loaf,book_jacket,isopod,monitor,comic_book,cash_machine
typewriter_keyboard,joystick,computer_keyboard,mouse,desktop_computer,screen,radio,space_bar,monitor
laptop,hand-held_computer,envelope,desktop_computer,television,screen,notebook,pencil_box,wallet
computer_keyboard,laptop,mouse,notebook,desktop_computer,space_bar,joystick,monitor,typewriter_keyboard
monitor,desktop_computer,screen,computer_keyboard,mouse,space_bar,desk,modem,joystick
crossword_puzzle,computer_keyboard,rule,handkerchief,slide_rule,space_bar,mouse,typewriter_keyboard,manhole_cover
desktop_computer,iPod,safety_pin,screen,monitor,mouse,printer,cellular_telephone,loudspeaker
mouse,desktop_computer,wallet,modem,rugby_ball,CD_player,soccer_ball,binder,loupe
mouse,mask,banjo,electric_guitar,wall_clock,cellular_telephone,acoustic_guitar,soccer_ball,printer
microphone,kimono,French_horn,ping-pong_ball,sax,notebook,ballplayer,banjo,stage
desktop_computer,monitor,screen,computer_keyboard,mouse,notebook,television,home_theater,laptop
pencil_sharpener,lens_cap,mouse,mousetrap,purse,washbasin,pick,Band_Aid,buckle
desktop_computer,monitor,screen,television,notebook,laptop,home_theater,desk,iPod
mouse,safety_pin,can_opener,toaster,Band_Aid,screw,paddle,shovel,spatula
web_site,jigsaw_puzzle,custard_apple,envelope,iron,water_jug,monitor,shower_curtain,banana
combination_lock,projector,reflex_camera,microphone,spotlight,safe,radio,magnetic_compass,padlock
web_site,television,screen,menu,brass,cash_machine,monitor,book_jacket,laptop
loudspeaker,projector,spotlight,car_wheel,lens_cap,electric_fan,CD_player,reflex_camera,washer
microphone,muzzle,spotlight,loupe,cornet,combination_lock,projector,tripod,stethoscope
web_site,notebook,loudspeaker,digital_clock,laptop,cellular_telephone,iPod,jersey,lighter
mouse,stage,perfume,grand_piano,projector,space_bar,balance_beam,typewriter_keyboard,paintbrush
mouse,remote_control,modem,radio,desktop_computer,CD_player,projector,loudspeaker,monitor
lens_cap,modem,mouse,remote_control,mousetrap,holster,wallet,switch,safety_pin
bubble,hamper,ashcan,feather_boa,bucket,mask,padlock,carton,parking_meter
mouse,joystick,mousetrap,CD_player,sewing_machine,cassette_player,iron,lighter,radio
sandal,iron,vacuum,scorpion,web_site,padlock,cassette_player,mailbag,muzzle
mouse,sandal,clog,Loafer,buckle,modem,wok,neck_brace,crash_helmet
mouse,crash_helmet,cellular_telephone,vacuum,joystick,CD_player,perfume,desktop_computer,football_helmet
remote_control,modem,mouse,CD_player,radio,computer_keyboard,stopwatch,space_bar,hand-held_computer
web_site,church,fountain,barn,jigsaw_puzzle,comic_book,book_jacket,castle,volcano
mouse,computer_keyboard,desktop_computer,monitor,screen,desk,modem,remote_control,joystick
mouse,computer_keyboard,remote_control,joystick,desktop_computer,modem,radio,iPod,space_bar
iron,sandal,crash_helmet,sewing_machine,table_lamp,neck_brace,electric_fan,bassinet,vacuum
sandal,mouse,pencil_box,safety_pin,toilet_tissue,iPod,shoe_shop,clog,bucket
mouse,CD_player,remote_control,waffle_iron,loudspeaker,modem,computer_keyboard,lens_cap,radio
running_shoe,bib,knot,sandal,diaper,sock,shoe_shop,pencil_box,football_helmet
mouse,modem,Loafer,cellular_telephone,sandal,punching_bag,wall_clock,clog,airship
monitor,desktop_computer,screen,desk,modem,television,vacuum,table_lamp,barbershop
mouse,crash_helmet,modem,wok,mousetrap,bathing_cap,vacuum,shovel,can_opener
envelope,web_site,binder,laptop,packet,cash_machine,plastic_bag,modem,gas_pump
mouse,cellular_telephone,rule,crossword_puzzle,lens_cap,remote_control,computer_keyboard,slide_rule,notebook
neck_brace,sandal,running_shoe,clog,buckle,swab,nipple,sunglasses,sunglass
desk,table_lamp,desktop_computer,notebook,dining_table,monitor,studio_couch,laptop,screen
mouse,computer_keyboard,radio,projector,reflex_camera,desktop_computer,joystick,loupe,modem
mouse,cellular_telephone,modem,barrow,remote_control,bathtub,computer_keyboard,desktop_computer,mousetrap
mouse,vacuum,modem,ashcan,pencil_sharpener,remote_control,pill_bottle,dumbbell,beaker
monitor,desktop_computer,screen,television,home_theater,desk,slot,computer_keyboard,vending_machine
mouse,lens_cap,crash_helmet,sandal,hair_slide,sunglass,killer_whale,remote_control,modem
barber_chair,desk,barbershop,desktop_computer,monitor,dining_table,restaurant,medicine_chest,screen
steel_arch_bridge,mouse,rule,planetarium,sandal,pier,magnetic_compass,ping-pong_ball,grand_piano
